topics proteins scores signal totalSignal fraction
67 Sir4 13.153025873528 11089 11181 0.991771755656918
67 Sir2 13.1529043350536 8281 8333 0.993759750390016
67 Asf2 12.9617362719854 2462 3493 0.70483824792442
67 Rif1 9.77088118154719 1386 3399 0.407766990291262
68 Put3 13.1477367567639 3550 3851 0.921838483510776
69 Yta7 13.1531559237813 44046 44198 0.99656093035884
71 Hms2 13.1482535075049 21453 22697 0.945190994404547
71 Skn7 13.1521185868629 9744 9984 0.975961538461538
71 Snf6 2.08387545218079 2676 31831 0.0840689893500047
71 Ste12 2.11166385526878 1006 9879 0.1018321692479
71 Gis1 1.66377206444925 454 7278 0.0623797746633691
72 Hap1 13.1531527246601 8477 8517 0.995303510625807
72 Ecm22 12.8703647221772 7374 10787 0.683600630388431
73 Rpc37 9.73841855305322 93031 177070 0.525391088270176
73 Rpo31 9.17810028022856 66659 162203 0.410960339821088
73 Rpc17 7.95486511461058 40873 99387 0.411250968436516
73 Rpc19 4.24361403402821 9389 50019 0.187708670705132
75 Rtf1 13.15312604584 100417 101189 0.992370712231567
75 Ctr9 13.1531475404211 84717 85041 0.9961900730236
75 Leo1 13.1530448120767 80515 81399 0.98913991572378
75 Paf1 13.1530462392292 68991 69845 0.987772925764192
76 Spt15 13.1531635472755 389405 389531 0.999676534088429
77 Ume6 13.1531550215278 40240 40370 0.996779786970523
78 Brf1 10.1612107486563 331664 603026 0.549999502509013
78 Tfc4 7.16588100375221 788 2582 0.305189775367932
79 Med2 13.1145186751723 33175 39361 0.842839358756129
79 Swi3 7.41779993149262 12204 39792 0.306694813027744
79 Rgr1 12.3579988419584 10869 21134 0.5142897700388
79 Swi1 7.1605619581763 7890 28495 0.276890682575891
79 Sin4 10.711054116116 6777 14258 0.47531210548464
79 Nut1 9.88113406030693 6569 17371 0.378159000633239
79 Pgd1 12.0704805524148 6557 10987 0.596796213707108
79 Snf6 4.49601921342852 5563 31831 0.174766736828878
79 Soh1 8.99221633513874 5203 15829 0.328700486448923
79 Sgf73 2.78461824356635 3350 27394 0.122289552456742
79 Spt7 3.0149185300997 2841 24778 0.114658164500767
79 Med4 6.20358709085437 2827 9942 0.284349225507946
79 Spt3 6.6030247068115 2792 15833 0.17634055453799
79 Srb4 5.13434168426449 2374 10660 0.222701688555347
79 Srb8 9.1572309350515 2255 6610 0.341149773071104
79 Ada2 2.39967865996222 2158 24470 0.0881896199427871
79 Snf2 5.47720794875656 1707 11970 0.142606516290727
79 Snf11 6.30858989097218 1534 7411 0.206989610039131
79 Gal11 8.70068548618797 1513 4119 0.367322165574168
79 Med11 8.79135620249749 1463 5020 0.291434262948207
79 Gcn5 7.25000623879767 1347 6306 0.21360608943863
79 Cse2 7.20841021296153 1308 6151 0.212648349861811
79 Ste12 2.69876310913027 1270 9879 0.128555521813949
79 Ngg1 4.3326854712013 1129 8532 0.132325363338022
79 Nut2 4.26693983894458 1111 8598 0.12921609676669
79 Srb5 9.98433218944952 1095 3410 0.321114369501466
79 Yap1 2.0711506906688 916 9515 0.0962690488702049
79 Srb6 8.58553267582964 915 2912 0.314217032967033
79 Tda9 3.80184331861881 770 7565 0.101784534038334
79 Ssn2 7.53662050609785 557 2102 0.264985727878211
79 Sfp1 1.79340236837345 498 8614 0.0578128627815185
79 Fzf1 3.00885362506276 495 5026 0.0984878631118185
80 Yku70 12.5829195669101 652 1122 0.581105169340463
81 Bdf1 13.1524712233632 15856 16207 0.978342691429629
81 Bdf2 13.1276345102784 11184 13140 0.851141552511416
81 Vps71 13.1515474590305 7121 7410 0.960998650472335
81 Swc7 13.1528473490783 4966 5033 0.986687860123187
81 Swr1 13.1529307147058 4745 4789 0.990812278137398
81 Vps72 13.1483600804829 4226 4569 0.92492886846137
81 God1 12.5010478941726 3467 6028 0.575149303251493
81 Aor1 13.1531552422074 2902 2909 0.997593674802338
82 Nrg2 11.6084006816422 4989 7698 0.64809041309431
82 Pip2 13.1522207389496 3905 3974 0.982637141419225
82 Nrg1 12.8827356678995 2653 3310 0.801510574018127
82 Gis1 10.0590526659402 2535 7278 0.348309975267931
82 Stp4 2.84174136508461 451 2865 0.157417102966841
83 Rcs1 12.7323617031249 1392 1947 0.714946070878274
83 Cdc53 13.1531636607211 735 735 1
83 Aft2 12.9615449407025 612 952 0.642857142857143
84 Rsc1 13.1377943696132 8395 9534 0.880532829872037
84 Rsc3 13.1443688108369 5357 5990 0.89432387312187
84 Htl1 13.1379052346195 4510 5283 0.853681620291501
84 Sfh1 13.1013137392162 2745 3515 0.780938833570412
84 Rsc58 13.1330105647553 2092 2463 0.849370686155095
84 Arp7 12.015225844008 1935 4689 0.412667946257198
84 Rsc8 13.0307048940088 1653 2598 0.636258660508083
84 Hal9 12.8759347475402 1601 2538 0.630811662726556
84 Rsc9 12.8474982587786 863 1260 0.684920634920635
84 Rsc6 12.4715114722616 416 790 0.526582278481013
85 Ada1 13.1523991804326 15034 15482 0.971063170133058
85 Rad9 13.1531588235347 1166 1167 0.999143101970865
86 Pub1 13.1517996747316 4829 4995 0.966766766766767
88 Rgm1 12.8523797519113 742 1025 0.72390243902439
88 Hpa3 8.67788124228671 447 1474 0.30325644504749
89 Yrr1 2.19891089621031 3484 23759 0.146639168315165
92 Ies3 13.0623279774534 6839 8218 0.832197614991482
92 Gts1 12.0359615147071 3395 6033 0.562738272832753
92 Nhp10 12.3786422589059 889 1861 0.477700161203654
93 Npl3 13.153162059011 62792 62918 0.997997393432722
93 Sif2 1.19782604752626 1242 15823 0.0784933324906781
94 Iws1 13.1531480710566 75249 75556 0.995936788607126
95 Taf3 13.1474509878386 65500 68870 0.951067228110934
95 Taf2 13.0211785482419 59230 70675 0.838061549345596
95 Taf11 13.1531634894158 31702 31715 0.999590099322087
95 Taf13 13.153143033992 21628 21703 0.996544256554393
95 Taf9 13.084486993968 20752 24665 0.841354145550375
95 Taf8 13.1529586851348 19253 19615 0.981544736171297
95 Taf6 13.129431184417 14909 16837 0.885490289243927
95 Taf4 13.1080991679772 13066 17418 0.750143529681938
95 Taf7 13.133222087234 12387 13501 0.917487593511592
95 Taf12 13.0773266837893 11742 14538 0.807676434172513
95 Taf10 13.0513205413779 10374 12915 0.803252032520325
95 Taf5 13.1108493155004 9208 10699 0.860641181418824
95 Taf1 13.1519555792522 7644 7887 0.96918980600989
95 Taf14 9.07303373827584 1781 4423 0.402667872484739
98 Spt16 13.1531313854711 70553 71053 0.992962999451114
98 Cbc2 13.1528943286614 62446 63409 0.98481288145216
98 Pob3 13.1531064946663 55408 56003 0.989375569165937
99 Bcy1 13.1512394003723 40910 42613 0.960035669866003
99 Hrb1 13.1509575047843 36945 37942 0.973723050972537
99 Tpk1 3.43646496383679 5704 27892 0.204503083321382
100 Phd1 4.54131806747675 6310 23516 0.26832794692975
100 Sut1 6.7877417835279 3999 10867 0.367994846783841
100 Crz1 12.8906439033747 2366 3495 0.676967095851216
102 Abf1 13.1531237212048 18988 19157 0.991178159419533
102 Rpn4 13.123979763145 3183 3984 0.79894578313253
103 Ace2 13.1427005662165 11645 12259 0.949914348641814
